,Consultant,Main New Gloss.1,Gloss Variant,D Start HS,N-D Start HS,D End HS,N-D End HS,Passive Arm,Session,Scene,Start,End,vid_links
4741,Naomi,GAMBLE,GAMBLE,A,,5,,N,ASL_2008_08_13,2,556,590,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_1012.mov
4742,Brady,GAMBLE,GAMBLE,S,,5,,N,ASL_2011_06_08_Brady,34,1062,1082,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_1012.mov
4743,Brady,GAMBLE,GAMBLE,S,,5,,N,ASL_2011_06_14_Brady,24,5490,5510,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3565.mov
4745,Liz,GANG,GANG+,S,,S,,N,ASL_2008_02_01,2,1286,1350,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_1014.mov
4746,Tyler,GANG,GANG+++,10,,10,,N,ASL_2008_05_29a,34,740,796,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_1014.mov
4747,Naomi,GANG,GANG+,10,,10,,N,ASL_2008_08_13,2,1081,1115,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_1014.mov
4748,Brady,GANG,GANG+,S,,S,,N,ASL_2011_06_14_Brady,24,6182,6211,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_1014.mov
4750,Liz,GARAGE/SUBMARINE,GARAGE/SUBMARINE+,3,B-L,3,B-L,N,ASL_2008_02_01,2,2680,2740,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_1016.mov
4751,Liz,GARAGE/SUBMARINE,GARAGE/SUBMARINE+,3,B-L,3,B-L,N,ASL_2008_02_29,51,1340,1397,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15554.mov
4752,Tyler,GARAGE/SUBMARINE,GARAGE/SUBMARINE,3,bent-B-L,3,bent-B-L,N,ASL_2008_05_29a,34,1320,1350,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_1016.mov
4753,Naomi,GARAGE/SUBMARINE,GARAGE/SUBMARINE+,3,B-L,3,B-L,N,ASL_2008_08_13,2,2060,2090,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_1016.mov
4754,Brady,GARAGE/SUBMARINE,GARAGE/SUBMARINE++,3,bent-B,3,bent-B,N,ASL_2011_07_19_Brady,102,2719,2759,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_1016.mov
4756,Liz,HELICOPTER,HELICOPTER,5,1,5,1,N,ASL_2008_02_01,21,731,790,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16156.mov
4757,Tyler,HELICOPTER,HELICOPTER,5,1,5,1,N,ASL_2008_05_29a,49,261,307,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_16156.mov
4759,Naomi,HELICOPTER,(3)HELICOPTER,3,5,3,5,N,ASL_2008_08_13,17,571,596,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_16168.mov
4760,Brady,HELICOPTER,(3)HELICOPTER,3,5,3,5,N,ASL_2011_06_14_Brady,33,3228,3258,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16168.mov
4762,Liz,GAY,GAY,G/Q,,G/Q,,N,ASL_2008_02_01,3,295,340,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_1020.mov
4763,Tyler,GAY,GAY,G/Q,,G/Q,,N,ASL_2008_05_29a,34,2360,2400,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_1020.mov
4764,Naomi,GAY,GAY,G/Q,,G/Q,,N,ASL_2008_08_13,2,3668,3690,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_1020.mov
4765,Brady,GAY,GAY,G/Q,,G/Q,,N,ASL_2011_06_14_Brady,24,9474,9493,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_1020.mov
4767,Liz,LESBIAN,LESBIAN+,L,,L,,N,ASL_2008_02_01,46,1630,1670,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16517.mov
4768,Tyler,LESBIAN,LESBIAN+,L,,L,,N,ASL_2008_05_29b,19,1580,1620,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_16517.mov
4769,Brady,LESBIAN,LESBIAN+,L,,L,,N,ASL_2011_06_14_Brady,48,3068,3091,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16517.mov
4771,Naomi,LESBIAN,LESBIAN_2+,L,,L,,N,ASL_2008_08_13_session2,2,1220,1255,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_16523.mov
4773,Liz,ns-GERMANY,ns-GERMANY,5,5,5,5,N,ASL_2008_02_01,3,1475,1520,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_1025.mov
4774,Naomi,ns-GERMANY,ns-GERMANY,5,5,5,5,N,ASL_2008_08_13,3,2413,2430,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_1025.mov
4775,Brady,ns-GERMANY,ns-GERMANY,5,5,5,5,N,ASL_2011_06_14_Brady,25,670,700,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_1025.mov
4777,Liz,ns-nat-GERMANY,ns-nat-GERMANY,1,,1,,N,ASL_2008_02_01,3,1700,1745,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_5037.mov
4778,Naomi,ns-nat-GERMANY,ns-nat-GERMANY,1,,1,,N,ASL_2008_08_13,3,2660,2687,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_5037.mov
4779,Brady,ns-nat-GERMANY,ns-nat-GERMANY,1,,1,,N,ASL_2011_06_14_Brady,25,1575,1593,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_5037.mov
4781,Liz,GET-IN,GET-IN,crvd-U,C,crvd-U,C,N,ASL_2008_02_01,3,2795,2861,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_1029.mov
4782,Naomi,GET-IN,GET-IN,crvd-U,C,crvd-U,C,N,ASL_2008_08_13,3,3595,3627,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_1029.mov
4783,Brady,GET-IN,GET-IN,crvd-U,O,crvd-U,O,N,ASL_2011_06_14_Brady,25,2537,2575,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_1029.mov
4785,Naomi,GET-ON,GET-ON,V/2,B-xd,V/2,B-xd,N,ASL_2008_08_13,3,3942,3977,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_1030.mov
4786,Brady,GET-ON,GET-ON,3,B-L,3,B-L,N,ASL_2011_06_14_Brady,25,2773,2802,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_1030.mov
4788,Liz,GHOST,GHOST,8,8,8,8,N,ASL_2008_02_01,4,1266,1311,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_1034.mov
4789,Liz,GHOST,GHOST,8,8,8,8,N,ASL_2008_02_29,39,1710,1745,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3766.mov
4790,Naomi,GHOST,GHOST,8,8,8,8,N,ASL_2008_08_13,4,1763,1800,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_1034.mov
4791,Brady,GHOST,GHOST,8,8,8,8,N,ASL_2011_06_14_Brady,25,4141,4181,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_1034.mov
4792,Brady,GHOST,GHOST,8,8,8,8,N,ASL_2011_07_19_Brady,91,2450,2494,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3766.mov
4794,Liz,GHOST,GHOST_2,F/9,O,F/9,O,N,ASL_2010_08_10_Liz_additional_lexicon_signs,11,4105,4151,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15760.mov
4795,Tyler,GHOST,GHOST_2,F/9,O,F/9,O,N,ASL_2008_05_29a,36,832,887,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_15760.mov
4796,Brady,GHOST,GHOST_2,F/9,O,F/9,O,N,ASL_2011_06_14_Brady,25,4452,4490,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15760.mov
4798,Liz,GIGGLE,GIGGLE,5-C-L,,5-C-L,,N,ASL_2008_01_11,76,1375,1400,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_1037.mov
4799,Liz,GIGGLE,GIGGLE,crvd-B,,crvd-B,,N,ASL_2008_02_01,4,2125,2175,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3347.mov
4800,Tyler,GIGGLE,GIGGLE,bent-B-L,,bent-B-L,,N,ASL_2008_05_29a,36,1780,1811,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_1037.mov
4801,Naomi,GIGGLE,GIGGLE,bent-B,,bent-B,,N,ASL_2008_08_04,48,2816,2846,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_1037.mov
4802,Naomi,GIGGLE,GIGGLE,bent-B,,bent-B,,N,ASL_2008_08_13,4,3060,3080,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_3347.mov
4803,Brady,GIGGLE,GIGGLE,bent-B,,bent-B,,N,ASL_2011_06_14_Brady,25,5433,5462,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_1037.mov
4804,Brady,GIGGLE,GIGGLE,bent-B,,bent-B,,N,ASL_2011_07_22_Brady,40,1323,1365,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3347.mov
4806,Liz,GIRL,GIRL+,10,,10,,N,ASL_2008_02_01,4,2365,2395,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_1038.mov
4807,Tyler,GIRL,GIRL++,10,,10,,N,ASL_2008_05_29a,36,1970,2015,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_1038.mov
4808,Naomi,GIRL,GIRL+,10,,10,,N,ASL_2008_08_13,4,3343,3370,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_1038.mov
4809,Brady,GIRL,GIRL+,10,,10,,N,ASL_2011_06_14_Brady,26,274,297,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_1038.mov
4810,Lana,GIRL,GIRL+,10,,10,,N,ASL_2006_10_10,12,443,470,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_1038.mov
4811,Dana,GIRL,GIRL+,10,,10,,N,ASL_2007_05_24,16,308,362,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_1038.mov
4813,Liz,GIVE-UP,GIVE-UP,crvd-B,crvd-B,B-L,B-L,N,ASL_2008_02_01,5,501,545,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_1041.mov
4814,Tyler,GIVE-UP,GIVE-UP,B-L,B-L,B-L,B-L,N,ASL_2008_05_29a,37,326,355,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_1041.mov
4815,Naomi,GIVE-UP,GIVE-UP,crvd-B,crvd-B,B-L,B-L,N,ASL_2008_08_13,5,232,260,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_1041.mov
4816,Brady,GIVE-UP,GIVE-UP,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,N,ASL_2011_06_14_Brady,26,1530,1548,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_1041.mov
4817,Lana,GIVE-UP,GIVE-UP,bent-B-L,bent-B-L,B-L,B-L,N,ASL_2006_10_10,11,2884,2904,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_1041.mov
4818,Dana,GIVE-UP,GIVE-UP,bent-B,bent-B,B-L,B-L,N,ASL_2007_05_24,15,2822,2869,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_1041.mov
4820,Liz,GIFT,GIFT,X,X,X,X,N,ASL_2008_02_15,47,1737,1770,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_1042.mov
4821,Brady,GIFT,GIFT,X,X,X,X,N,ASL_2011_07_19_Brady,41,2806,2820,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_1042.mov
4823,Liz,GIFT,(1h)GIFT,X-over-thumb,,X-over-thumb,,N,ASL_2008_02_01,5,770,800,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3721.mov
4824,Tyler,GIFT,(1h)GIFT,X,,X,,N,ASL_2008_05_29a,37,611,640,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_3721.mov
4825,Naomi,GIFT,(1h)GIFT,X,,X,,N,ASL_2008_08_13,5,792,820,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_3721.mov
4826,Brady,GIFT,(1h)GIFT,X-over-thumb,,X-over-thumb,,N,ASL_2011_06_14_Brady,26,830,847,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3721.mov
4828,Tyler,GIVE,GIVE,flat-O,,flat-O,,N,ASL_2008_05_29a,37,842,866,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_1043.mov
4829,Lana,GIVE,GIVE,flat-O,,flat-O,,N,ASL_2006_10_10,12,714,726,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_1043.mov
4830,Dana,GIVE,GIVE,flat-O,,flat-O,,N,ASL_2007_05_24,16,570,613,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_1043.mov
4832,Liz,GIVE,(2h)GIVE,flat-O,flat-O,flat-O,flat-O,N,ASL_2008_01_18,40,585,606,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3847.mov
4833,Liz,GIVE,(2h)GIVE,flat-O,flat-O,flat-O,flat-O,N,ASL_2008_02_01,5,975,1005,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_5196.mov
4834,Naomi,GIVE,(2h)GIVE,flat-O,flat-O,flat-O,flat-O,N,ASL_2008_08_13,5,1138,1168,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_3847.mov
4835,Brady,GIVE,(2h)GIVE,flat-O,flat-O,flat-O,flat-O,N,ASL_2011_06_14_Brady,26,1042,1058,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3847.mov
4837,Liz,GIVE,GIVE_2,flat-O,,flat-O,,N,ASL_2008_01_18,44,1546,1586,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_5197.mov
4839,Liz,GLASSES,GLASSES+,L,L,baby-O,baby-O,N,ASL_2008_02_01,6,1295,1340,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_1048.mov
4840,Naomi,GLASSES,GLASSES+,L,L,baby-O,baby-O,N,ASL_2008_08_13,5,3763,3795,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_1048.mov
4842,Brady,GLASSES_2,GLASSES_2+,L-X,L-X,L-X,L-X,N,ASL_2011_06_14_Brady,26,2295,2317,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15342.mov
4844,Liz,ns-GALLAUDET,ns-GALLAUDET,L,,flat-G,,N,ASL_2008_02_01,2,601,640,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15784.mov
4845,Tyler,ns-GALLAUDET,ns-GALLAUDET,L,,flat-G,,N,ASL_2008_05_29a,34,220,236,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_15784.mov
4846,Naomi,ns-GALLAUDET,ns-GALLAUDET,L,,flat-G,,N,ASL_2008_08_13,2,275,290,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_15784.mov
4847,Brady,ns-GALLAUDET,ns-GALLAUDET,L,,baby-O,,N,ASL_2011_06_14_Brady,24,4955,4967,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15784.mov
4849,Tyler,BLINDFOLD,BLINDFOLD,crvd-L,crvd-L,baby-O,baby-O,N,ASL_2008_05_29a,37,3735,3785,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_16377.mov
4851,Liz,GLOBE,GLOBE,crvd-5,crvd-5,crvd-5,crvd-5,N,ASL_2008_02_01,6,1666,1737,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_1049.mov
4852,Naomi,GLOBE,GLOBE,crvd-5,crvd-5,crvd-5,crvd-5,N,ASL_2008_08_13,5,4115,4145,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_1049.mov
4853,Brady,GLOBE,GLOBE,crvd-5,crvd-5,crvd-5,crvd-5,N,ASL_2011_06_14_Brady,26,5575,5602,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_1049.mov
4855,Tyler,EARTH+SPHERE,EARTH+SPHERE,open-8,Rlxd,crvd-5,crvd-sprd-B,N,ASL_2008_05_29a,37,4186,4241,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_5198.mov
4856,Brady,EARTH+SPHERE,EARTH+SPHERE,open-8,Rlxd,crvd-5,Rlxd,N,ASL_2011_06_14_Brady,26,5033,5089,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_5198.mov
4858,Liz,GLORY,GLORY,5,B-L,5,B-L,N,ASL_2008_02_01,7,246,311,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_1050.mov
4860,Brady,GLORY,GLORY_2,5,5,5,5,N,ASL_2011_06_14_Brady,26,5825,5860,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_5064.mov
4862,Tyler,GLORY,(25)GLORY,25,B-L,25,B-L,N,ASL_2008_05_29a,37,4720,4752,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_16206.mov
4863,Brady,GLORY,(25)GLORY+,25,B-L,25,B-L,N,ASL_2011_06_14_Brady,26,6394,6470,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16206.mov
4865,Liz,GLOVES,GLOVES,5,5,5,5,N,ASL_2008_02_01,7,500,580,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_1051.mov
4866,Brady,GLOVES,GLOVES,S,S,5,5,N,ASL_2011_06_14_Brady,26,7182,7227,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_1051.mov
4868,Naomi,GLOVES_2,GLOVES_2,5,5,5,5,N,ASL_2008_08_13,6,267,317,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_15324.mov
4870,Tyler,PUT-ON-GLOVES,PUT-ON-GLOVES,crvd-5,5,crvd-B,5,N,ASL_2008_05_29a,38,255,290,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_15343.mov
4871,Brady,PUT-ON-GLOVES,PUT-ON-GLOVES,crvd-5,crvd-5,crvd-B,crvd-B,N,ASL_2011_06_14_Brady,26,7420,7460,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15343.mov
4873,Liz,GLUE,GLUE+,cocked-S,B-L,cocked-S,B-L,N,ASL_2008_02_01,7,942,1027,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_1052.mov
4874,Liz,GLUE,GLUE,cocked-S,B-L,cocked-S,B-L,N,ASL_2008_02_01,7,1202,1251,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_5063.mov
4875,Naomi,GLUE,GLUE+,X-over-thumb,B-L,X-over-thumb,B-L,N,ASL_2008_08_13,6,805,840,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_1052.mov
4876,Naomi,GLUE,GLUE,X-over-thumb,B-L,X-over-thumb,B-L,N,ASL_2008_08_13,6,1101,1140,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_5063.mov
4878,Tyler,GLUE,(G)GLUE++,G/Q,B-L,G/Q,B-L,N,ASL_2008_05_29a,38,511,576,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_5199.mov
4879,Tyler,GLUE,(G)GLUE++,G/Q,B-L,G/Q,B-L,N,ASL_2008_05_29a,38,900,957,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_15224.mov
4881,Liz,GOAL,GOAL,1,1,1,1,N,ASL_2008_02_01,8,886,931,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_1062.mov
4882,Liz,GOAL,GOAL,1,1,1,1,N,ASL_2008_02_29,40,1585,1625,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3800.mov
4883,Liz,GOAL,GOAL,1,1,1,1,N,ASL_2008_03_28,21,1545,1577,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15736.mov
4884,Tyler,GOAL,GOAL,1,1,1,1,N,ASL_2008_05_29a,39,540,567,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_1062.mov
4885,Naomi,GOAL,GOAL,1,D,1,D,N,ASL_2008_08_13,7,1046,1075,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_1062.mov
4886,Brady,GOAL,GOAL,1,1,1,1,N,ASL_2011_06_14_Brady,27,1856,1871,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_1062.mov
